GroupID,pleasant,eventful,chaotic,vibrant,uneventful,calm,annoying,monotonous
MC415,2.4332972,2.7270334,2.744577,2.5748167,2.6548805,2.226491,2.9345598,2.7345803
MC416,2.2505012,2.4157023,2.6510606,2.2594938,2.7851412,2.152053,2.9606915,2.8787508
MC417,2.1828618,2.7911751,2.8443525,2.5738134,2.3485606,1.9126165,2.9699702,2.482162
MC418,2.1669328,2.527247,2.8812447,2.290062,2.8729649,2.0654123,3.2451801,3.019055
MG101,2.4101753,2.7224083,2.4437833,2.6542087,2.0883698,2.0960157,2.4477918,2.091731
MG102,2.7096324,3.0163789,2.5185742,2.97896,2.1124723,2.31929,2.4144626,2.0932348
MG103,2.8278928,2.5079656,2.2648885,2.5618691,2.7330234,2.6824913,2.399143,2.661584
MG104,2.2616773,2.432076,2.6267924,2.2793756,2.7308583,2.1491423,2.9351792,2.8070724
MG105,1.9011296,2.503196,2.968057,2.1942852,2.6844368,1.7867693,3.36125,2.8628457
MG106,2.5858762,2.38371,2.2521932,2.3914828,2.6213596,2.4474676,2.447485,2.5749168
MG108,2.38532,2.6509874,2.5467513,2.5467887,2.364207,2.144705,2.6655545,2.3969235
MG109,1.8561817,3.1017392,3.3684552,2.6820555,2.2324939,1.5192785,3.5464416,2.4784176
MG110,2.2489223,2.7779584,2.7089832,2.6100912,2.2320971,1.9542856,2.77462,2.3284116
MG111,2.0096002,2.5896084,2.78891,2.356604,2.364406,1.7972802,2.9925256,2.5075495
MG114,2.1556633,2.8505168,2.8392088,2.6327558,2.198894,1.8401546,2.9096138,2.3308618
MG116,2.436681,2.8933108,2.627849,2.779841,2.1500354,2.0891957,2.6044412,2.201394
MG118,2.4260268,2.5910022,2.5026422,2.506062,2.4538114,2.216123,2.649708,2.4747474
MG119,1.9830229,2.8532927,2.8628411,2.6010225,1.9788665,1.6375237,2.9024327,2.1271935
ML101,1.7337923,3.1019044,3.4336336,2.645194,2.1563816,1.3917315,3.6089897,2.4304705
ML103,1.7163172,3.2082582,3.643465,2.687012,2.3000603,1.3895862,3.8929653,2.6001053
ML104,1.7661397,3.4239173,3.8238647,2.8605409,2.2896075,1.3895988,4.0466604,2.6077728
ML105,1.7578607,3.1015785,3.4139493,2.655665,2.1601996,1.413804,3.5815158,2.4299657
ML106,1.7949976,2.9905753,3.1847668,2.6193352,2.0194726,1.4336982,3.2728057,2.2568154
ML111,1.9154558,2.9753308,3.0987184,2.6483474,2.0774407,1.5615147,3.1642895,2.291039
ML112,1.8789005,3.28156,3.3926713,2.8681393,1.970017,1.4392722,3.41719,2.228031
ML130,1.8148282,3.270242,3.5028903,2.809951,2.0882173,1.4131546,3.610776,2.3653593
ML131,1.6939592,3.2497616,3.7519464,2.691794,2.3802044,1.3806858,4.052094,2.693227
ML132,1.6945202,3.1313188,3.4927595,2.6519654,2.1461573,1.3486434,3.6830869,2.427782
ML133,1.8274598,3.2266035,3.4846866,2.7722795,2.1571503,1.4497688,3.6218991,2.4299808
ML202,1.7723428,3.3327458,3.774972,2.7807403,2.3891277,1.4339954,4.0442457,2.7020438
ML203,1.7933484,3.146644,3.3554776,2.7272313,2.0254176,1.4034969,3.4421115,2.2853281
ML204,1.8469672,3.2369921,3.3707728,2.8230786,1.9648817,1.4206867,3.4113746,2.217694
ML205,1.8281372,3.160565,3.3835719,2.7368248,2.105181,1.4513144,3.4936972,2.36525
ML206,1.9103808,3.189056,3.2935283,2.8054833,2.0123708,1.5011532,3.3457203,2.2406301
ML208,1.9292276,3.2145252,3.307673,2.832812,2.0200295,1.5122857,3.342535,2.256548
ML209,1.8311903,3.1440966,3.4321373,2.7061934,2.2237182,1.4844983,3.5959659,2.4898307
ML210,1.8622916,3.1366916,3.3006194,2.7445123,2.0551462,1.4728389,3.3704472,2.302622
ML211,1.8519869,3.266205,3.5371408,2.802472,2.213553,1.4748862,3.6820512,2.4947543
ML212,1.7334328,3.0993328,3.5162878,2.6171932,2.3068528,1.4263594,3.7620912,2.591854
ML213,1.6825814,3.0526135,3.462916,2.5785666,2.2236788,1.3716943,3.694522,2.502624
ML214,1.7856572,3.341397,3.6816263,2.8240838,2.2252488,1.4050545,3.8630052,2.5271
NP101,3.7612362,1.9060199,1.3943372,2.3722293,3.4731321,3.934164,1.6520135,3.0588608
NP102,3.463173,2.0600855,1.5683862,2.418195,3.1410933,3.5198085,1.7668073,2.8113666
NP106,3.5685878,2.030533,1.4618957,2.4331303,3.1465054,3.6365888,1.6631155,2.765606
NP107,3.6795373,1.9840431,1.3833313,2.4328125,3.2225013,3.7816722,1.5856643,2.8033144
NP108,3.6980186,1.9874253,1.3902023,2.4384756,3.2508879,3.804602,1.5929577,2.8343868
NP109,3.7303057,1.9877241,1.3883907,2.4447074,3.289816,3.845332,1.6031575,2.8641798
NP110,3.291356,2.0576372,1.5933332,2.3825808,2.9589677,3.3099122,1.7506385,2.6687126
NP111,3.532316,1.8903947,1.3864486,2.3152578,3.19558,3.6480186,1.6067649,2.8153896
NP112,3.4649909,1.9955299,1.4470534,2.3887486,3.0354753,3.5213947,1.6195824,2.6742787
NP113,3.6303313,2.050605,1.4364343,2.4736838,3.138815,3.6951668,1.6142734,2.7400856
NP114,3.364932,1.9759905,1.4872149,2.337941,3.0170522,3.417417,1.6821114,2.6824331
NP116,3.342053,2.1146007,1.5039792,2.4671884,2.7723017,3.3115573,1.6039128,2.441246
NP117,3.6382036,2.3351488,1.5388043,2.7248702,2.8400288,3.5635338,1.5954016,2.4575603
NP118,3.8389134,2.3058836,1.48643,2.7466998,3.0588455,3.8243675,1.5847267,2.6244493
NP119,3.9193814,2.762085,1.735572,3.1440575,2.8089123,3.7280388,1.6975412,2.4048846
NP120,3.9359665,2.2625554,1.4615042,2.729097,3.213869,3.9667156,1.5951402,2.757907
NP123,3.5400484,2.316685,1.56143,2.6846983,2.783207,3.458895,1.6148998,2.4235177
NP125,3.805306,2.0940385,1.4011439,2.5584493,3.226511,3.8817267,1.5717225,2.7875166
NP126,3.667273,1.9898523,1.4628366,2.4131503,3.339333,3.7882166,1.7056237,2.9462552
NP127,3.60822,1.9861305,1.3703457,2.4256792,3.1025734,3.6855836,1.5504477,2.6880531
NP128,3.3968828,2.0317156,1.5241787,2.3874893,3.032125,3.4387362,1.7158316,2.6981556
NP129,3.2383587,1.9075594,1.4325837,2.2648697,2.8722892,3.2791312,1.6045275,2.5506744
NP131,3.3616717,2.0690181,1.4567596,2.4387288,2.792945,3.349039,1.5642719,2.448134
NP132,3.4428039,2.0584102,1.4265229,2.451022,2.863018,3.446878,1.5476854,2.4950218
NP133,3.6427426,1.9442439,1.4272097,2.376034,3.3190598,3.7711112,1.6656926,2.9263444
NP134,3.615444,2.273827,1.4921727,2.669941,2.8426855,3.559173,1.5722008,2.447505
NP135,3.465311,2.0565577,1.4791808,2.4388165,2.990574,3.494314,1.6332695,2.6350937
NP136,3.4037004,1.9763117,1.4650813,2.3535748,3.0214858,3.4606125,1.652324,2.671819
NP138,3.75024,2.2045927,1.4962233,2.6312125,3.1335406,3.7751682,1.6322944,2.7251167
NP139,3.705684,2.0033588,1.3999481,2.4522471,3.2524524,3.8091254,1.6022155,2.8361263
NP140,4.010934,2.1828897,1.4160495,2.6759408,3.370143,4.0959826,1.5986125,2.89016
NP141,3.6331627,2.0178597,1.4247715,2.4474387,3.1753445,3.715786,1.6106067,2.7781734
NP142,3.7882292,2.1596184,1.4599085,2.5991833,3.2046413,3.838432,1.6310005,2.778946
NP143,3.9091108,2.1899643,1.4555898,2.650488,3.3035626,3.9741914,1.6417505,2.850689
NP144,3.6346989,2.1575484,1.4475579,2.5777898,2.9770112,3.6379924,1.5621568,2.5753098
NP146,3.5835464,2.0081542,1.413503,2.4296122,3.1122413,3.65518,1.598037,2.717339
NP147,3.541252,2.1297162,1.4713492,2.5261192,2.9486713,3.545072,1.5949059,2.5741696
NP148,3.4430244,1.95978,1.5298513,2.3262253,3.220827,3.54107,1.7705784,2.8901074
NP149,2.7787902,2.4385886,2.0437484,2.539237,2.3996725,2.5894177,2.117435,2.2659335
NP150,3.7124307,1.9590147,1.4056277,2.4078116,3.3451362,3.8444762,1.6431851,2.9312022
NP151,3.550877,2.0244162,1.4356565,2.4352126,3.0789504,3.6097794,1.6080642,2.6983833
NP152,3.772944,2.356895,1.4936383,2.7785244,2.9044669,3.709828,1.5671601,2.4747548
NP153,3.558943,2.1277683,1.4288187,2.5385795,2.8973358,3.5561097,1.5389088,2.5031614
NP154,3.8918393,2.006571,1.4006858,2.488895,3.487586,4.0440683,1.6449335,3.039267
NP155,3.7239912,1.95439,1.3644351,2.4169424,3.29498,3.847639,1.584917,2.8670535
NP156,3.6418025,1.9019215,1.413313,2.3395963,3.3625398,3.7900603,1.6628681,2.9722216
